Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
strophanthidin PC3 UP,strophanthidin PC3 UP,0.0009055925051223488,0.00010071542813977522,44.298853767331344,10/459,EGR1;PPIF;ARID5B;TNFAIP3;CXCR4;INHBA;PTGS2;GEM;LGMN;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
tibolone 444008 human GSE12446 sample 3204,tibolone 444008 human GSE12446 sample 3204,0.0109773048485054,0.0027695696858252,44.26442932412591,4/287,C3;COL1A2;COL6A3;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
perhexiline HL60 UP,perhexiline HL60 UP,0.0193953586052015,0.006081441880416,44.07335823715741,3/74,GPNMB;SPP1;TNFAIP3,Fallback_DSigDB,Combined signature vs DSigDB
rottlerin CTD 00003057,rottlerin CTD 00003057,0.0193953586052015,0.006081441880416,44.07335823715741,3/74,HMOX1;PTGS2;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
protoporphyrin IX BOSS,protoporphyrin IX BOSS,0.0193953586052015,0.006081441880416,44.07335823715741,3/74,CD8A;HBB;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
LMP-420 497668 human GSE20211 sample 3222,LMP,0.0184256671243054,0.0013579610163866,44.03867561396301,5/278,IGHG1;IGHG2;IGKC;TNFAIP3;IGHA1,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
cisplatin DB00515 human GSE47856 sample 3153,cisplatin DB00515 human GSE47856 sample 3153,0.0111966738841946,0.0028396295133371,43.76289924588826,4/289,EGR1;STEAP4;GPNMB;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
benzo[a]pyrene CTD 00005488,benzo[a]pyrene CTD 00005488,1.1421827861331694e-05,2.988889533806425e-07,43.56691873153595,45/4424,IL1RN;IFITM2;TNFAIP6;EPAS1;PLEK;LPL;TNFAIP3;CXCR4;PTGS2;MEDAG;SOCS2;AKAP12;HCAR3;ARL5B;BAG3;DPYSL3;CCL4;HIST1H1D;SPP1;HMOX1;HIVEP2;TIMP1;PLTP;EGR1;IL1R1;CCL20;FUCA1;FN1;SERPINB9;FRMD4B;NEAT1;MMP9;TM4SF1;DCN;EREG;TMEM154;VCAN;CCDC80;APOC1;PPIF;MMP19;XAF1;FRA10AC1;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
trifluoperazine MCF7 UP,trifluoperazine MCF7 UP,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,EGR1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
DMA-4 herbicide BOSS,DMA,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,SPARC;HBB,Fallback_DSigDB,Combined signature vs DSigDB
penicillin g BOSS,penicillin g BOSS,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,CD8A;HBB,Fallback_DSigDB,Combined signature vs DSigDB
Silica BOSS,Silica BOSS,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,FN1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
