Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
iohexol-3322,iohexol,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,IGHG1;CD8A;DNAJA4;TAOK1;HIST1H1D;PLTP,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
fendiline-7188,fendiline,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,EGR1;RGS2;HMOX1;TNFAIP3;NEAT1;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
metixene-5018,metixene,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,HMOX1;TNFAIP3;CXCR4;NEAT1;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
nordihydroguaiaretic acid-6942,nordihydroguaiaretic acid,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,RNF24;CD8A;HMOX1;NEAT1;XAF1;FILIP1L,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
drofenine-6776,drofenine,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,EGR1;IGHG1;TNFAIP3;MMP19;CXCR4;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
ellipticine-6253,ellipticine,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,EGR1;COL14A1;PLEK;CXCR4;SERPINB9;HIVEP2,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
chlorpromazine-5493,chlorpromazine,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,C3;EGR1;STEAP4;FN1;TNFAIP3;CXCR4,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
mefloquine-5724,mefloquine,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,EGR1;HMOX1;TNFAIP3;INHBA;PTGS2;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
niclosamide-1916,niclosamide,0.0003737670296867693,1.0952879990821078e-05,153.6140644811137,6/100,IGHG1;HMOX1;INHBA;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
dequalinium chloride-1276,dequalinium chloride,0.0106242935910964,1.0952879990821078e-05,153.6140644811137,6/100,C3;EGR1;RGS2;SPP1;PTGS2;FILIP1L,Fallback_Old_CMAP_down,Combined signature vs Old_CMAP_down
ciclosporin-1331,ciclosporin,0.0106242935910964,1.0952879990821078e-05,153.6140644811137,6/100,RGS2;CCL20;CCL4;SPP1;NEAT1;FILIP1L,Fallback_Old_CMAP_down,Combined signature vs Old_CMAP_down
karakoline-3638,karakoline,0.0106242935910964,1.0952879990821078e-05,153.6140644811137,6/100,C3;STEAP4;CD8A;TAOK1;HIST1H1D;NEAT1,Fallback_Old_CMAP_down,Combined signature vs Old_CMAP_down
AH 6809 CTD 00002290,AH 6809 CTD 00002290,0.003341834498863,0.0005934098642840978,152.19242604001315,3/33,EGR1;IL1R1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
phenylephrine CTD 00006521,phenylephrine CTD 00006521,0.003341834498863,0.0005934098642840978,152.19242604001315,3/33,FN1;LPL;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
fentanyl BOSS,fentanyl BOSS,0.003341834498863,0.0005934098642840978,152.19242604001315,3/33,BAG3;CD8A;HBB,Fallback_DSigDB,Combined signature vs DSigDB
AH 23848 CTD 00002080,AH 23848 CTD 00002080,0.003341834498863,0.0005934098642840978,152.19242604001315,3/33,EGR1;IL1R1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
propofol BOSS,propofol BOSS,0.00046247981796653073,3.695516302442839e-05,152.16625332614535,5/75,BAG3;TAOK1;HBB;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Lipopolysaccharide 11970143 mouse GSE2002 sample 3603,Lipopolysaccharide 11970143 mouse GSE2002 sample 3603,0.00017484075930362966,1.3095825598300776e-05,151.33613295085635,6/257,C3;IL1RN;PLEK;CCL4;PTGS2;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
alprostadil PC3 UP,alprostadil PC3 UP,0.001184069929272,0.00014275235595897137,149.46316209851528,4/53,AKAP12;EPAS1;PTGS2;TM4SF1,Fallback_DSigDB,Combined signature vs DSigDB
mometasone HL60 UP,mometasone HL60 UP,0.001184069929272,0.00014275235595897137,149.46316209851528,4/53,CCL20;LPL;CXCR4;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
Dinoprostone BOSS,Dinoprostone BOSS,1.9254611448214864e-05,6.11828774990005e-07,149.16095129569933,9/196,HLA-DRB5;IL1R1;CD8A;TAOK1;FN1;HMOX1;HBB;MMP9;EREG,Fallback_DSigDB,Combined signature vs DSigDB
celastrol CTD 00002186,celastrol CTD 00002186,0.00020845207828413208,1.2273346665327405e-05,148.8997525909875,6/102,IL1RN;BAG3;PPIF;ARID5B;HMOX1;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
Docosahexaenoic acid BOSS,Docosahexaenoic acid BOSS,9.043955567948492e-05,4.2492190987662204e-06,148.47678693635794,7/131,CD8A;TAOK1;LPL;HMOX1;HBB;MMP9;EREG,Fallback_DSigDB,Combined signature vs DSigDB
5-Fluorouracil BOSS,5,1.9802501566694625e-05,6.384918729448266e-07,147.9176727569127,9/197,SPARC;IL1R1;CD8A;CCL20;TAOK1;FN1;HBB;MMP9;GEM,Fallback_DSigDB,Combined signature vs DSigDB
perphenazine MCF7 UP,perphenazine MCF7 UP,0.0035859319086108,0.0006484839479590657,145.51627376631131,3/34,EGR1;TNFAIP3;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
promethazine PC3 UP,promethazine PC3 UP,0.0035859319086108,0.0006484839479590657,145.51627376631131,3/34,TNFAIP3;INHBA;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
bisacodyl PC3 UP,bisacodyl PC3 UP,0.0035859319086108,0.0006484839479590657,145.51627376631131,3/34,TNFAIP3;PTGS2;GEM,Fallback_DSigDB,Combined signature vs DSigDB
Xanthohumol CTD 00003425,Xanthohumol CTD 00003425,0.0035859319086108,0.0006484839479590657,145.51627376631131,3/34,HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
ethaverine HL60 DOWN,ethaverine HL60 DOWN,0.0012402637609512,0.0001535840638561188,145.25671708113592,4/54,HCAR3;EGR1;SPP1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
cadmium acetate CTD 00001325,cadmium acetate CTD 00001325,0.0012402637609512,0.0001535840638561188,145.25671708113592,4/54,RGS2;HMOX1;FBLN1;CCL18,Fallback_DSigDB,Combined signature vs DSigDB
resveratrol DB02709 human GSE25412 sample 3501,resveratrol DB02709 human GSE25412 sample 3501,0.0005150507635807291,4.602293288237789e-05,145.0841781484295,5/194,EGR1;RGS2;CCL20;GEM;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
"3,3',4,4',5-Pentachlorobiphenyl CTD 00001077","3,3',4,4',5",1.1483176000962665e-05,3.076497102804673e-07,144.38714767487764,10/237,SOCS2;MARCO;IL1RN;FUCA1;FN1;SPP1;HMOX1;XAF1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
rosiglitazone DB00412 human GSE5679 sample 2809,rosiglitazone DB00412 human GSE5679 sample 2809,0.0002009497923345714,1.5579550259841935e-05,144.33766945849723,6/265,IL1RN;GPNMB;APOC1;SPP1;TIMP1;PLTP,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
alprostadil HL60 UP,alprostadil HL60 UP,1.1622559635362209e-06,1.6035540556916114e-08,144.27982061091694,14/409,IL1RN;TNFAIP6;EPAS1;CCL20;OSM;CXCR4;SERPINB9;INHBA;NEAT1;PTGS2;GEM;VCAN;GNLY;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
Oligomycin CTD 00006434,Oligomycin CTD 00006434,0.0130588581174542,0.003594237117374,142.7494556250508,2/18,COL6A3;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
hesperidin CTD 00006087,hesperidin CTD 00006087,0.0130588581174542,0.003594237117374,142.7494556250508,2/18,PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Nebivolol CTD 00002249,Nebivolol CTD 00002249,0.0130588581174542,0.003594237117374,142.7494556250508,2/18,TNFAIP6;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
cyclophosphamide CTD 00005734,cyclophosphamide CTD 00005734,7.263112000111673e-06,1.5649889454991548e-07,141.3408924258205,11/280,EGR1;SPARC;CTSL;SPP1;HMOX1;TNFAIP3;XAF1;PTGS2;TM4SF1;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
pimecrolimus DB00337 human GSE32473 sample 2574,pimecrolimus DB00337 human GSE32473 sample 2574,0.00010112733759477507,6.378596852232856e-06,140.85091495276728,7/350,VCAN;COL1A2;GPNMB;HBB;COL6A3;TIMP1;PLTP,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
estradiol CTD 00005920,estradiol CTD 00005920,7.960513251469731e-11,7.439732010719376e-14,140.4111230604779,56/4336,ERRFI1;IL1RN;STEAP4;TNFAIP6;COL14A1;TNFAIP3;HBB;LIPA;AKAP12;RGS2;TIMP1;IL1R1;ARRDC3;ARID5B;SERPINB9;FRMD4B;NEAT1;MMP9;GEM;TM4SF1;DCN;EREG;VCAN;CCDC80;PPIF;COL6A3;FBP1;BIRC3;NNMT;FGL2;LPL;CXCR4;FBLN1;PTGS2;HSPD1;C3;SOCS2;HCAR3;IGKC;GPNMB;BAG3;SPP1;HMOX1;FILIP1L;EGR1;CCL20;CRTAM;FN1;INHBA;SSH2;TMEM154;COL1A2;DNAJA4;TAOK1;XAF1;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
clonidine HL60 UP,clonidine HL60 UP,0.0005554751509902667,4.7500912444494767e-05,140.37205137271638,5/79,IL1RN;CCL20;TIMP1;INHBA;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
methylergometrine HL60 UP,methylergometrine HL60 UP,0.00011097486415003804,5.445028381193456e-06,139.8252403042247,7/136,IL1RN;VCAN;GNLY;CCL20;FUCA1;ARID5B;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
"1-chloro-2,4-dinitrobenzene CTD 00005848",1,1.3524343463557142e-05,3.7286741324760347e-07,139.42843896681958,10/242,RGS2;TNFAIP6;GPNMB;CTSL;FGL2;CCL4;HMOX1;TNFAIP3;CXCR4;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
tanespimycin SKMEL5 UP,tanespimycin SKMEL5 UP,0.0038095013490983,0.0007067159044822667,139.31055899468168,3/35,RGS2;BAG3;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
oxozinc CTD 00007012,oxozinc CTD 00007012,0.0038095013490983,0.0007067159044822667,139.31055899468168,3/35,DNAJA4;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Go 6976 CTD 00002962,Go 6976 CTD 00002962,0.0038095013490983,0.0007067159044822667,139.31055899468168,3/35,HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
formaldehyde 712 rat GSE7002 sample 3551,formaldehyde 712 rat GSE7002 sample 3551,0.00010456362953648142,6.8701464872852445e-06,138.33504212902577,7/354,EGR1;RGS2;CCL20;PLEK;TIMP1;PTGS2;HSPD1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
pyrvinium HL60 UP,pyrvinium HL60 UP,0.0001153771477267396,5.714942831324485e-06,138.18883959303977,7/137,TNFAIP6;CCL20;OSM;INHBA;GEM;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
CARBON TETRACHLORIDE BOSS,CARBON TETRACHLORIDE BOSS,0.0005714385485710787,5.046817087847377e-05,137.65043835300511,5/80,TAOK1;FN1;HBB;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
methylbenzethonium chloride PC3 UP,methylbenzethonium chloride PC3 UP,0.0002702714898721775,1.70258011951738e-05,136.04348889334202,6/108,HMOX1;TNFAIP3;INHBA;PTGS2;GEM;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
ellipticine PC3 UP,ellipticine PC3 UP,0.0005849701627573615,5.357670649553404e-05,135.0118210305148,5/81,EGR1;CCL20;TNFAIP3;CXCR4;GEM,Fallback_DSigDB,Combined signature vs DSigDB
phenytoin CTD 00006527,phenytoin CTD 00006527,0.00028031389885898846,1.7945329039103468e-05,134.07055976214613,6/109,VCAN;COL1A2;CTSL;FN1;COL6A3;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
benzethonium chloride HL60 DOWN,benzethonium chloride HL60 DOWN,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,HCAR3;EGR1;FN1,Fallback_DSigDB,Combined signature vs DSigDB
AZOXYMETHANE BOSS,AZOXYMETHANE BOSS,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,TAOK1;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
fenbendazole MCF7 UP,fenbendazole MCF7 UP,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,EGR1;TNFAIP3;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
9-Anthroic acid BOSS,9,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,HLA-DRB5;HBB;EREG,Fallback_DSigDB,Combined signature vs DSigDB
candesartan BOSS,candesartan BOSS,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,FN1;HBB;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
naringenin BOSS,naringenin BOSS,0.0040291638527055,0.0007681770335999374,133.5295206771706,3/36,TAOK1;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
dihydroergocristine HL60 UP,dihydroergocristine HL60 UP,0.0006142354489572098,5.683113032407829e-05,132.45268339594952,5/82,IL1RN;CXCR4;TIMP1;NEAT1;GEM,Fallback_DSigDB,Combined signature vs DSigDB
Curcumin CID 969516 human GSE10896 sample 3259,Curcumin CID 969516 human GSE10896 sample 3259,0.0015305835183664,0.0002011279261979588,132.164369094312,4/142,CCL20;SPP1;TIMP1;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
suloctidil HL60 UP,suloctidil HL60 UP,0.00013319276634753523,6.908596759147855e-06,131.93068747929362,7/141,IL1RN;IFITM2;TNFAIP6;CCL4;SPP1;HMOX1;XAF1,Fallback_DSigDB,Combined signature vs DSigDB
cannabidiol CTD 00005567,cannabidiol CTD 00005567,0.0142336506096995,0.0040040456388033,131.7684366549516,2/19,TIMP1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
Silica CTD 00006678,Silica CTD 00006678,6.085203651214311e-08,4.5496849728705125e-10,131.75958825024455,22/898,EGR1;IL1RN;CCL20;OSM;NFATC2;TNFAIP3;FBLN1;PTGS2;MMP9;GEM;MEDAG;MARCO;ARL5B;VCAN;IL18RAP;DNAJA4;CCL4;APOC1;SPP1;HMOX1;FOLR3;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
ubiquinol 9962735 human GSE19627 sample 3449,ubiquinol 9962735 human GSE19627 sample 3449,0.0002806683406944032,2.212890991020262e-05,131.04019188584283,6/282,TNFAIP6;CCL20;PLEK;CCL4;PPIF;NEAT1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
sanguinarine HL60 UP,sanguinarine HL60 UP,3.3969978696254767e-06,6.190790510065123e-08,130.54972439427482,13/384,EGR1;TNFAIP6;IL1R1;INHBA;NEAT1;PTGS2;GEM;BAG3;DNAJA4;HMOX1;MMP19;FILIP1L;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
cisplatin DB00515 mouse GSE6206 sample 2692,cisplatin DB00515 mouse GSE6206 sample 2692,0.0003646357738075757,3.1615818538229112e-06,130.5029274316204,8/307,AKAP12;COL3A1;SPARC;CCDC80;CTSL;DPYSL3;FN1;INHBA,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
gossypol PC3 UP,gossypol PC3 UP,0.0015733298576772,0.00020291543958828455,130.20447941462302,4/58,TNFAIP3;HMOX1;NEAT1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
GW9662 CTD 00004071,GW9662 CTD 00004071,0.0015733298576772,0.00020291543958828455,130.20447941462302,4/58,FN1;HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
prochlorperazine MCF7 UP,prochlorperazine MCF7 UP,0.0015733298576772,0.00020291543958828455,130.20447941462302,4/58,EGR1;IFITM2;NEAT1;GEM,Fallback_DSigDB,Combined signature vs DSigDB
bay 11-7082 CTD 00003959,bay 11,0.000638145151828829,6.02361311539362e-05,129.9697001406706,5/83,EGR1;BAG3;HMOX1;PTGS2;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
ciclopirox HL60 UP,ciclopirox HL60 UP,7.029034175888697e-05,2.9889818224573427e-06,129.1431539525624,8/177,HCAR3;EGR1;RGS2;TNFAIP6;CCL4;PPIF;TNFAIP3;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
diuron CTD 00005864,diuron CTD 00005864,0.0001422722013728169,7.578986428271555e-06,128.9643465517695,7/143,C3;HCAR3;IL1RN;NNMT;TIMP1;PTGS2;TMEM154,Fallback_DSigDB,Combined signature vs DSigDB
trifluoperazine PC3 UP,trifluoperazine PC3 UP,0.0042988376202398,0.0008329373632247138,128.13302753808438,3/37,TNFAIP3;HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
STOCK1N-35696 PC3 UP,STOCK1N,0.0042988376202398,0.0008329373632247138,128.13302753808438,3/37,PTGS2;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
niclosamide HL60 UP,niclosamide HL60 UP,7.17213244978996e-05,3.1168612982732077e-06,127.954187436043,8/178,IL1RN;TNFAIP6;IL1R1;PLEK;SPP1;ARID5B;TNFAIP3;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
CALCIUM CTD 00005559,CALCIUM CTD 00005559,7.17213244978996e-05,3.1168612982732077e-06,127.954187436043,8/178,HCAR3;EGR1;MARCO;TNFAIP6;SCGB1A1;HMOX1;CXCR4;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
5-aza-2'-deoxycytidine DB01262 human GSE5230 sample 2497,5,0.00013888883397028746,9.490432807430942e-06,127.82137907335655,7/372,C3;CCL20;APOC1;SPP1;TIMP1;PLTP;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
decitabine 451668 mouse GSE4768 sample 3105,decitabine 451668 mouse GSE4768 sample 3105,0.000299838605170616,2.4428375191298545e-05,127.48901227286754,6/287,SPP1;TIMP1;PTGS2;FILIP1L;TM4SF1;HSPD1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
menadione PC3 UP,menadione PC3 UP,0.00032743248420850376,2.203284005888997e-05,126.60958855863468,6/113,EGR1;BAG3;HMOX1;CXCR4;GEM;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
strophanthidin HL60 UP,strophanthidin HL60 UP,7.263112000111673e-06,1.498518334967425e-07,126.29412356077378,12/344,EGR1;IL1RN;RGS2;TNFAIP6;RNF24;CCL20;CCL4;SPP1;ARID5B;TNFAIP3;PTGS2;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
acetoacetic acid BOSS,acetoacetic acid BOSS,0.000694646121475884,6.751700619952517e-05,125.2197745880067,5/85,CD8A;TAOK1;HBB;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
mebendazole HL60 UP,mebendazole HL60 UP,7.263112000111673e-06,1.5951694579684518e-07,125.02574687205428,12/346,EGR1;IL1RN;RGS2;TNFAIP6;IL1R1;GNLY;CCL20;SPP1;TNFAIP3;TIMP1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
irinotecan DB00762 rat GSE11722 sample 2768,irinotecan DB00762 rat GSE11722 sample 2768,0.00014821132757502302,1.0711725383214542e-05,124.05905455584414,7/379,EGR1;RGS2;GPNMB;CCL20;HBB;PTGS2;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
mometasone PC3 UP,mometasone PC3 UP,0.0017689024636714,0.00023144518216262016,123.59929166727188,4/60,AKAP12;NNMT;CCL20;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
(-)-isoprenaline HL60 UP,(,8.169578753846793e-05,3.675917745560265e-06,123.36101882953288,8/182,IL1RN;RGS2;HLA-DRB5;VCAN;IL1R1;CCL20;ARID5B;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
Ephedrone CTD 00002112,Ephedrone CTD 00002112,0.0046021014754561,0.0009010656627178086,123.08574753825548,3/38,IGKC;CD8A;CRTAM,Fallback_DSigDB,Combined signature vs DSigDB
domperidone PC3 UP,domperidone PC3 UP,0.0152569608902365,0.004434499847536,122.13995997533476,2/20,HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
0317956-0000 MCF7 DOWN,0317956,0.0152569608902365,0.004434499847536,122.13995997533476,2/20,EGR1;EPAS1,Fallback_DSigDB,Combined signature vs DSigDB
trimipramine MCF7 UP,trimipramine MCF7 UP,0.0152569608902365,0.004434499847536,122.13995997533476,2/20,EGR1;TNFAIP3,Fallback_DSigDB,Combined signature vs DSigDB
monensin PC3 UP,monensin PC3 UP,0.0152569608902365,0.004434499847536,122.13995997533476,2/20,HMOX1;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
diflorasone PC3 UP,diflorasone PC3 UP,0.0152569608902365,0.004434499847536,122.13995997533476,2/20,NNMT;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
progesterone CTD 00006624,progesterone CTD 00006624,3.892611795565914e-09,1.8189774745635108e-11,122.0404566119875,34/1915,ERRFI1;STEAP4;TNFAIP6;COL14A1;FGL2;HBB;CXCR4;FBLN1;PTGS2;MEDAG;IGHG3;SOCS2;AKAP12;HCAR3;RGS2;IGKC;BAG3;SPP1;HMOX1;TIMP1;FILIP1L;EGR1;IL1R1;CRTAM;FN1;SERPINB9;INHBA;MMP9;GEM;VCAN;COL1A2;PPIF;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
benzene CTD 00005481,benzene CTD 00005481,7.484153082136136e-07,9.792349827094011e-09,121.91919050728306,17/615,EGR1;IL1RN;IFITM2;SPARC;TNFAIP6;CCL20;TNFAIP3;HBB;CXCR4;PTGS2;MMP9;VCAN;HMOX1;HIVEP2;FILIP1L;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
rosiglitazone DB00412 mouse GSE2431 sample 2808,rosiglitazone DB00412 mouse GSE2431 sample 2808,0.0007805443739434336,8.000323412298005e-05,121.46112108960784,5/218,C3;SOCS2;APOC1;PLTP;FBP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Atorvastatin DB01076 human GSE11393 sample 3196,Atorvastatin DB01076 human GSE11393 sample 3196,0.00035761832183742425,2.9605721781547605e-05,120.81821148214456,6/297,HCAR3;EGR1;TNFAIP6;CCL20;PTGS2;LIPA,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Pioglitazone BOSS,Pioglitazone BOSS,0.000751074178038953,7.545838704596957e-05,120.73880183210812,5/87,TAOK1;FN1;HBB;LPL;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
ibuprofen CTD 00006137,ibuprofen CTD 00006137,0.00017548829651759922,9.92246910216332e-06,120.6560008041434,7/149,IGHG3;C3;IL1RN;IGKC;EPAS1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
MPTP BOSS,MPTP BOSS,0.0018398209802059,0.0002467423464107934,120.49641294473822,4/61,TAOK1;PPIF;HMOX1;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
fluticasone HL60 UP,fluticasone HL60 UP,0.0018398209802059,0.0002467423464107934,120.49641294473822,4/61,CCL20;CCL4;MMP19;CXCR4,Fallback_DSigDB,Combined signature vs DSigDB
Electrocorundum CTD 00005364,Electrocorundum CTD 00005364,0.0018398209802059,0.0002467423464107934,120.49641294473822,4/61,COL1A2;SPP1;FN1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Calcitonin 16132288 mouse GSE60761 sample 3446,Calcitonin 16132288 mouse GSE60761 sample 3446,0.0008045929960137756,8.352542271365082e-05,119.76954660333074,5/220,C3;RGS2;GPNMB;PLEK;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
cediranib 9933475 human GSE32569 sample 2642,cediranib 9933475 human GSE32569 sample 2642,0.0003598950012172536,3.0740046096086055e-05,119.54869527245376,6/299,IGHG3;IL1RN;RGS2;PLEK;SPP1;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Etanercept DB00005 human GSE7524 sample 3295,Etanercept DB00005 human GSE7524 sample 3295,0.0008095001918342874,8.533073692553471e-05,118.93755774001411,5/221,RGS2;VCAN;PPIF;TIMP1;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
oxidopamine CTD 00007130,oxidopamine CTD 00007130,0.0049206312861847,0.0009726294551664332,118.35645919802704,3/39,HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
imatinib DB00619 human GSE1418 sample 2521,imatinib DB00619 human GSE1418 sample 2521,0.0003748147270184761,3.250692770462473e-05,117.68256909464397,6/302,SOCS2;RGS2;GPNMB;CCL4;LIPA;PLTP,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
LY 294002 CTD 00003061,LY 294002 CTD 00003061,5.224258970488081e-05,2.072457698381129e-06,116.8547844494043,9/227,PPIF;LPL;HMOX1;TNFAIP3;TIMP1;PTGS2;LIPA;MMP9;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
tetryzoline HL60 UP,tetryzoline HL60 UP,0.0004158963575485342,2.954030203148467e-05,116.57327996690708,6/119,IL1RN;VCAN;TNFAIP6;CCL20;FUCA1;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
Interferon beta-1a DB00060 human GSE26104 sample 3187,Interferon beta,0.00018070550641021777,1.3772561592368764e-05,116.5422395189279,7/394,HCAR3;EGR1;ARL5B;TNFAIP6;CCL20;CCL4;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
15-Acetyldeoxynivalenol CTD 00002073,15,0.0008143673696938579,8.41005554683844e-05,116.5058798270508,5/89,ARL5B;CCL4;CXCR4;GEM;EREG,Fallback_DSigDB,Combined signature vs DSigDB
Interferon beta-1a DB00060 human GSE26104 sample 3187,Interferon beta,0.0018907648709964,3.174793457448489e-05,115.73831200891046,6/206,IGHG1;SPARC;IL18RAP;PROK2;LPL;S100A12,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
celastrol MCF7 UP,celastrol MCF7 UP,5.479212815403016e-05,2.227530443645152e-06,115.1423059391735,9/229,SOCS2;EGR1;RGS2;EPAS1;DNAJA4;HMOX1;NEAT1;GEM;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
azacitidine PC3 UP,azacitidine PC3 UP,0.0004194725330283081,3.097040197124892e-05,115.0211205356334,6/120,AKAP12;EGR1;CCL20;TNFAIP3;PTGS2;GEM,Fallback_DSigDB,Combined signature vs DSigDB
HEXACHLOROETHANE BOSS,HEXACHLOROETHANE BOSS,0.00010497306261298476,5.052441798662351e-06,114.89422263220553,8/190,IL1R1;CD8A;FGL2;FN1;HMOX1;HBB;MMP9;EREG,Fallback_DSigDB,Combined signature vs DSigDB
