gene,mean_abs_shap,mean_shap,direction,rank
HIST1H4C,0.037676211884347145,-0.00585570548831057,DOWN,104
MME,0.03729301397960273,-0.004960129001382769,DOWN,105
HIST1H1E,0.03712805499488981,-0.002304097613532148,DOWN,106
RP11-124N14.3,0.03709492376031986,-0.0003185248333962578,DOWN,107
INSIG1,0.036819416068171164,-0.004048396655424467,DOWN,108
TRIM25,0.03678903950378029,0.0012266947523074878,UP,109
SCD,0.03628656471456474,-0.005686512760902714,DOWN,110
POSTN,0.03598871653503314,2.543528185532906e-05,UP,111
CSF3,0.035485123195197775,0.0002937561789537037,UP,112
SACS,0.0346432115345063,-0.0028546496799258603,DOWN,113
ITGA6,0.03458183516534799,0.0006358405629934125,UP,114
IGHD,0.03457541273814191,0.0036481262744246816,UP,115
CXCL2,0.033945979579786,-0.0012923176306641627,DOWN,116
CTSW,0.03332928052222027,0.005535954771877813,UP,117
TGM2,0.03315496848529694,-0.0016461366126905924,DOWN,118
ATG2A,0.03222335465062018,0.00195923499989487,UP,119
GNG11,0.03212284528587927,0.005960038700556115,UP,120
LEPR,0.03159157280470314,-0.009036119294198793,DOWN,121
SDS,0.031083370163750602,0.001066048544093232,UP,122
CEP192,0.03028902813385227,-0.0004023097078447957,DOWN,123
TIMP3,0.029984725190578133,-0.004013513286502065,DOWN,124
SLPI,0.029304261597313152,-0.0025979355412159497,DOWN,125
C10orf68,0.028491744453870822,-0.0029343795038176343,DOWN,126
CHD6,0.0278337195647807,-0.0009420917243130873,DOWN,127
FABP4,0.02748802331848915,-0.002011671684478161,DOWN,128
RND3,0.027207199180540775,-2.2995383521560303e-07,DOWN,129
IGJ,0.02665359350772385,0.001957643813752709,UP,130
CLEC4E,0.026536788551185565,0.0013676236643135917,UP,131
TRBC2,0.02649540658990289,-0.005158844552084967,DOWN,132
RN7SL851P,0.02635468766535606,-0.0017466284261209804,DOWN,133
SGMS2,0.02613075097144103,0.001749139929128437,UP,134
IL7R,0.026040807693341744,0.0017647096870888916,UP,135
ZNF91,0.025779269550815297,0.0026466235102254906,UP,136
GPX3,0.025623663839144478,0.002223252349581626,UP,137
KIT,0.025428361921080913,-0.0018753549186045293,DOWN,138
HOPX,0.025344458683765014,-0.002826624075886956,DOWN,139
FAM101B,0.02514068859150988,-0.0013825402621631849,DOWN,140
NABP1,0.025082729844693598,0.0011314134126701601,UP,141
ANGPTL4,0.02458622934526298,-0.004864110019330268,DOWN,142
ICOS,0.024231753412871718,-0.0020314026063236045,DOWN,143
PXN,0.02414809149611252,0.001203882459684975,UP,144
CD93,0.0241442212254277,0.0017693377974966654,UP,145
HSH2D,0.024062657674919153,0.0007766285573601634,UP,146
GCA,0.02394909666734571,-0.002337623651930108,DOWN,147
CASP8AP2,0.02354926630054624,-0.0012433591513855851,DOWN,148
SEMA3C,0.023524715251720358,-0.0002531287777465092,DOWN,149
IL1R2,0.023328346082401214,0.00027217455941024266,UP,150
PSIP1,0.023174617609687295,-0.001283448978321411,DOWN,151
BCL2L11,0.02273457088924839,-0.00023699390414824638,DOWN,152
CXCL3,0.022192313500848007,-0.0029283191792927824,DOWN,153
CD3G,0.022140761778069798,0.003570478382449465,UP,154
INTS10,0.02208853328680333,0.0005178836310179341,UP,155
SCGB3A1,0.02204044940227911,0.0015482312242062627,UP,156
HCAR2,0.021251700966160785,-0.006471997717658892,DOWN,157
SPTBN1,0.020860726663428163,-0.0008326256734647001,DOWN,158
CCR7,0.02080017816905025,-0.0003309430399655442,DOWN,159
C11orf96,0.02074661322494385,0.0017661559873697762,UP,160
MMP2,0.020709936974526683,0.003293419285390816,UP,161
RASGRP2,0.020495537717584403,0.0009355630355371523,UP,162
CRISPLD2,0.020395845027973553,-0.0002079280127778705,DOWN,163
TRAC,0.020372290672091287,0.0018062594088859424,UP,164
NCOA7,0.020345250679898803,-0.0007519422026381911,DOWN,165
CMTM2,0.020263923591962794,0.003876213636616185,UP,166
IKZF3,0.020203197012324734,0.0004564622589939105,UP,167
MOAP1,0.020043645399024784,-0.0006225638820961669,DOWN,168
PPAP2B,0.019999909094710014,0.00015908475143244265,UP,169
CREB5,0.019973000487668587,0.001812514003053141,UP,170
TNIK,0.01994328522711634,0.0007961957431671029,UP,171
S100B,0.019895849554643064,-6.827585632665187e-05,DOWN,172
TNF,0.0198333972027481,-0.00043528896754960905,DOWN,173
IL18R1,0.01956913941309662,-0.004192328696539474,DOWN,174
FCGR2A,0.01923729108407815,0.002142266225262586,UP,175
GPR65,0.018977454273741704,-0.0017725887750222429,DOWN,176
PTX3,0.01897476864027379,-0.0013861336313752773,DOWN,177
BPIFB1,0.018964702236434487,-0.0030028637930540367,DOWN,178
SLC6A4,0.018803757345463017,0.0034559195733133655,UP,179
IL1B,0.01874321890474166,0.0004846624470537944,UP,180
BCL2A1,0.01820758996959917,-0.0026126793971148468,DOWN,181
ADAM19,0.018141139803002835,-0.00014778902780559485,DOWN,182
RCAN1,0.01807784960669564,-0.0028654938259649247,DOWN,183
MBD5,0.017911376730238026,-0.002589022233965109,DOWN,184
COL6A1,0.017781338639086222,-0.0029477210353927316,DOWN,185
CHI3L1,0.017699868524161957,-0.0019055980826318038,DOWN,186
NBL1,0.01759005596112821,-0.00020325467893857465,DOWN,187
CASS4,0.01758264573767755,0.000963815495887317,UP,188
IRF4,0.01750294360338886,0.0011209786536551215,UP,189
GATAD2B,0.01738186036871687,-0.0023451152561892153,DOWN,190
CLEC5A,0.017380198602401198,-0.002914304610480007,DOWN,191
ETS1,0.017138294218956057,0.0008508537717015658,UP,192
TNKS,0.01711479950265036,-0.0007136358308732632,DOWN,193
ITM2A,0.017092229908680003,0.0011183460221819714,UP,194
NSMAF,0.016954821886242807,9.206261827127254e-05,UP,195
SPIB,0.016843415275681298,0.0020205201575313548,UP,196
CCL5,0.01669375819525092,-0.0018959679779371097,DOWN,197
MXD1,0.016665275906031212,0.0013064773123620923,UP,198
CYP1B1,0.01637259654595332,0.0011480212854462666,UP,199
FPR1,0.016078520387526576,0.005287603665439975,UP,200
NID1,0.015955130831121486,0.0014098965844796657,UP,201
PLAU,0.01595365161960465,0.0006936616708144607,UP,202
GLCCI1,0.015763687024497444,0.0013185921719517375,UP,203
LAIR2,0.015747876508666173,-0.0018573677080511138,DOWN,204
NPAT,0.015746627414899506,-0.00021225427235386794,DOWN,205
FAM134B,0.015700908108937237,-0.0007458411354923815,DOWN,206
PLK2,0.015614061791820273,0.0010810577291992106,UP,207
IGHM,0.015234860106671112,0.0036912602502834867,UP,208
PIK3R1,0.015112593333624393,-0.005619055777925235,DOWN,209
ADAMDEC1,0.015034225495229968,0.00015593422839199573,UP,210
RERE,0.014999099726208871,0.0009019309126489879,UP,211
ADAMTS4,0.01496604523426643,0.00029637285442468323,UP,212
VGLL3,0.014796054142388389,-0.00035107043219719707,DOWN,213
PARM1,0.014673655949087362,0.0001837875783688689,UP,214
RSPO3,0.014653631387335633,0.0027523499468753054,UP,215
TPSAB1,0.014546786514962731,0.0013093086038178806,UP,216
SPOCK2,0.014439707652518306,-0.000314373958668356,DOWN,217
SETBP1,0.014391270157031151,0.0013813990807413617,UP,218
ATP8A1,0.014387078854834716,-0.0010414205581069356,DOWN,219
CXCL1,0.014178498882039852,-0.001366273351394907,DOWN,220
MCM4,0.014153312972406596,-0.0012139861961938854,DOWN,221
ISG15,0.014083409502985126,-0.0006052751533725617,DOWN,222
BCOR,0.014045169217745299,-0.00016594053555283111,DOWN,223
FCAR,0.014009435762772636,0.0008372958185203487,UP,224
MTUS1,0.014003708390810495,0.000634941261032216,UP,225
SELE,0.01397912413153942,0.0001685217470749192,UP,226
TAGLN,0.013972490280288184,-0.0021486893180586645,DOWN,227
CLDN18,0.013753840421343368,-0.00043228542043294136,DOWN,228
MGP,0.013654360335205989,0.003797838807824466,UP,229
CST7,0.013648622726884356,-0.0008632818452149954,DOWN,230
CEP120,0.013632208557140186,-0.000879096561093241,DOWN,231
DNAJB4,0.013619126512681922,3.294311530397408e-05,UP,232
FBN1,0.0135811436741279,0.001640702031364556,UP,233
KIAA1731,0.013543880826093082,-0.0005218128361660036,DOWN,234
ABLIM1,0.013506905007875566,0.0009433333188414581,UP,235
IL6,0.013464205956266876,0.0020583718730631077,UP,236
FFAR2,0.01331006430234753,0.0003158479609496978,UP,237
SELL,0.01327224409310821,-0.0019197688554380894,DOWN,238
MYOM2,0.01317245717802162,0.0024899801401397983,UP,239
GPR157,0.013062598887111775,-0.002697874861009873,DOWN,240
SYTL2,0.013062091391184532,0.0002813644904034292,UP,241
LBH,0.013047069951423995,-0.0021148536508740763,DOWN,242
DHRS9,0.01303596181691926,0.0001770403553036606,UP,243
STMN1,0.012765538125385674,0.0009362092585667471,UP,244
IL2RB,0.012758624386929809,-0.0017489815975515537,DOWN,245
WWTR1,0.012599848631733563,0.0002068288597230693,UP,246
CAMKK2,0.012557620636299395,-0.0007987484215998208,DOWN,247
OXNAD1,0.012536975781571381,-0.00040669757009233724,DOWN,248
EGLN3,0.012287122982386512,-0.001420272226802657,DOWN,249
AGAP2,0.012208626907555302,-0.00280564797089487,DOWN,250
GATA2,0.011916455573736532,0.0014863611545014729,UP,251
SFTPB,0.011908992294061397,-0.0007388014560339263,DOWN,252
STXBP5,0.01189343307387847,-0.00013503379756276248,DOWN,253
MX2,0.011885062938651986,-0.0010132779956111854,DOWN,254
ZNF165,0.011825068974132094,-0.0004813279591309334,DOWN,255
HPGD,0.011749596591794422,-0.0017701561969509446,DOWN,256
SLFN5,0.011746992877124841,0.0009853620197473453,UP,257
APOBEC3A,0.011741462751815462,-0.0016312170836754992,DOWN,258
RNASE1,0.01164338681151748,0.0009854825411183617,UP,259
PPP1R16B,0.011578771369438266,0.0008886584346892709,UP,260
AP1S3,0.011543096832546923,0.000985626256547628,UP,261
IFI27,0.011490587478743004,-0.0017915385194476761,DOWN,262
CCDC71L,0.011340274443190232,0.00039615436266115487,UP,263
SERPINE1,0.011319468651296238,0.0005845787192169621,UP,264
SLC40A1,0.011260103348868487,0.0023211465460675216,UP,265
SEPHS2,0.01120546119407303,-0.0010106193712600348,DOWN,266
VNN1,0.011122717292234168,-4.8738589756252684e-05,DOWN,267
ADAMTS15,0.01111685797402769,0.00040678238278487813,UP,268
MT2A,0.011029789554986113,-0.0016412934577052782,DOWN,269
SEMA7A,0.01101619996963838,-0.0010123195321804228,DOWN,270
PTPRCAP,0.01091999946450355,0.0002719324371255521,UP,271
DPP4,0.010865582236681734,-0.0015697665619770404,DOWN,272
MDN1,0.01086432047421952,0.0001295257510213928,UP,273
RAI14,0.010853822304382893,-0.0006084964173586919,DOWN,274
IGF1,0.01084250162547831,0.0012129140146503266,UP,275
CD3E,0.010837934828632127,0.0005391463764532257,UP,276
ITIH5,0.010780079995398057,0.0007589579496456018,UP,277
FCN1,0.010698665995481615,0.001161265065175338,UP,278
IGFBP5,0.010646079911891917,0.0009566166051413658,UP,279
CXCR1,0.010582687616940211,0.00042403841623348974,UP,280
KLF5,0.010475594589509314,0.0006289183208029501,UP,281
BBC3,0.010449692461681037,0.0020422928469574476,UP,282
TSIX,0.010431411046350371,0.0018715625683095136,UP,283
